YEAR,COUNTY_DISTRICT_CODE,ACT_TESTS_ADMINISTERED,GRADUATES,GRADUATES_WITH_ACT_SCORE_ABOVE_NATIONAL_AVG,GRADUATES_WITH_ACT_SCORE_ABOVE_NATIONAL_AVG_PCT,ACT_COMPOSITE_SCORE,ACT_ENGLISH_SCORE,ACT_MATH_SCORE,ACT_READING_SCORE,ACT_SCIENCE_SCORE,GRADUATES_WHO_TOOK_ACT_AND_SCORED_ABOVE_NATIONAL_AVERAGE_PERCEN
2000,96088,851,1175,0,0,20.5,19.8,20.1,20.8,20.9,0
2000,96089,387,701,0,0,20.2,19.7,19.5,20.8,20.4,0
2000,96090,244,384,0,0,21.7,21.4,21.4,21.6,21.7,0
2000,96091,1105,1385,0,0,23.2,22.6,23.3,23.5,22.9,0
2000,96092,253,330,0,0,22.6,22.3,22.3,23.1,22.3,0
2000,96093,268,383,0,0,22.2,22,21.7,22.5,22.2,0
2000,96094,579,846,0,0,21.8,21.4,21.2,22,22,0
2000,96095,1160,1388,0,0,23.8,23.2,24.1,23.8,23.5,0
2000,96098,108,181,0,0,21.7,21.4,21.2,22,21.7,0
2000,96099,40,103,0,0,19.9,20,19.4,19.4,20.3,0
2000,96101,49,59,0,0,22,21.9,21.3,22.2,22.2,0
2000,96102,144,196,0,0,24.3,23.7,24.7,24.6,23.8,0
2000,96103,17,72,0,0,22.6,21.5,21.6,24.6,21.8,0
2000,96104,56,112,0,0,17.5,17.1,17.2,17.6,17.7,0
2000,96106,177,254,0,0,23.8,23.5,23.8,24.1,23.2,0
2000,96107,31,52,0,0,19,18.2,18.2,19.5,19.4,0
2000,96109,71,154,0,0,16.5,16.8,15.6,16.9,16.4,0
2000,96110,159,288,0,0,20.5,19.9,19.7,21.1,20.8,0
2000,96111,141,327,0,0,18,17.7,17.6,17.8,18.3,0
2000,96112,152,223,0,0,18.3,18.1,17.5,18.8,18.1,0
2000,96113,33,52,0,0,20.4,19.6,19.5,21.8,20.3,0
2000,96114,213,295,0,0,23,23,22,23.6,22.7,0
2000,96119,40,634,0,0,17,16.2,16.1,17.1,18.1,0
2000,115115,644,1407,0,0,18.1,17.6,17.6,18.1,18.5,0
2001,96088,846,1231,0,0,20.5,19.9,20,20.9,20.9,0
2001,96089,412,696,0,0,19.8,19.1,19.1,20.3,19.9,0
2001,96090,247,424,0,0,21.3,21.3,20.8,21.6,21,0
2001,96091,1129,1408,0,0,22.8,22.2,22.7,23.1,22.8,0
2001,96092,255,359,0,0,22.5,22.4,21.9,23,22.3,0
2001,96093,289,408,0,0,21.9,21.5,21.7,22.2,21.8,0
2001,96094,558,809,0,0,21.8,21.2,20.9,22.5,22.1,0
2001,96095,1202,1454,0,0,23.5,23.1,23.5,23.5,23.3,0
2001,96098,131,194,0,0,22.4,21.8,22.4,22.7,22.1,0
2001,96099,49,99,0,0,20,19.7,18.8,20.7,20.2,0
2001,96101,35,48,0,0,21.5,22.2,19.3,22.9,21.4,0
2001,96102,120,165,0,0,24,23.5,24.1,24.3,23.8,0
2001,96103,24,68,0,0,18.8,18.6,18.4,18.8,18.8,0
2001,96104,68,130,0,0,16.2,15.1,16.7,15.6,17.1,0
2001,96106,213,259,0,0,23.9,23.5,23.9,24,23.6,0
2001,96107,32,48,0,0,19.2,19.1,18.1,18.9,20,0
2001,96109,82,167,0,0,17.5,17.5,17,17.3,18,0
2001,96110,179,313,0,0,19.9,19.6,19.2,20.3,20,0
2001,96111,130,297,0,0,17.6,17.1,17.3,17.4,18.1,0
2001,96112,138,232,0,0,19.4,18.9,18.8,19.9,19.4,0
2001,96113,20,45,0,0,20.8,19.6,20.4,21.5,21.5,0
2001,96114,205,319,0,0,22.7,22.8,21.7,23.1,22.5,0
2001,96119,41,296,0,0,16.2,16,15.2,16.5,16.8,0
2001,115115,900,1490,0,0,17.1,16.5,16.7,17,17.8,0
2002,96088,868,1271,0,0,20.4,19.7,20.1,20.6,20.6,0
2002,96089,386,694,0,0,20.3,20,19.5,20.8,20.3,0
2002,96090,254,428,0,0,21.7,21.4,21,22.1,21.6,0
2002,96091,1196,1474,0,0,23.3,22.8,23.3,23.6,23,0
2002,96092,302,409,0,0,23.3,23.1,22.8,24,22.7,0
2002,96093,259,377,0,0,22.2,21.9,21.8,22.6,22,0
2002,96094,534,827,0,0,21.5,21,21,21.9,21.6,0
2002,96095,1120,1438,0,0,23.8,23.5,23.9,23.9,23.3,0
2002,96098,110,181,0,0,21.5,21.2,20.9,21.7,21.5,0
2002,96099,42,94,0,0,19.8,18.6,19.1,20.1,20.5,0
2002,96101,41,63,0,0,21,21.8,19.6,21.8,20.7,0
2002,96102,137,189,0,0,25.6,25.1,25.6,26,25,0
