YEAR,COUNTY_DISTRICT_CODE,GRADUATES,GRADUATES_4YR_COHORT,ADJUSTED_4YR_COHORT,GRADUATION_RATE_4YR_COHORT,ASIAN_GRADUATES_4YR_COHORT,ASIAN_ADJUSTED_4YR_COHORT,ASIAN_GRADUATION_RATE_4YR_COHORT,BLACK_GRADUATES_4YR_COHORT,BLACK_ADJUSTED_4YR_COHORT,BLACK_GRADUATION_RATE_4YR_COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATES_4YR_COHORT,HAWAIIAN_PACIFIC_ISLANDER_ADJUSTED_4YR_COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATION_RATE_4YR_COHORT,HISPANIC_GRADUATES_4YR_COHORT,HISPANIC_ADJUSTED_4YR_COHORT,HISPANIC_GRADUATION_RATE_4YR_COHORT,INDIAN_GRADUATES_4YR_COHORT,INDIAN_ADJUSTED_4YR_COHORT,INDIAN_GRADUATION_RATE_4YR_COHORT,MULTIRACIAL_GRADUATES_4YR_COHORT,MULTIRACIAL_ADJUSTED_4YR_COHORT,MULTIRACIAL_GRADUATION_RATE_4YR_COHORT,WHITE_GRADUATES_4YR_COHORT,WHITE_ADJUSTED_4YR_COHORT,WHITE_GRADUATION_RATE_4YR_COHORT,IEP_GRADUATION_RATE_4YR_COHORT,LEP_GRADUATION_RATE_4YR_COHORT,FRL_GRADUATION_RATE_4YR_COHORT,GRADUATES_5YR_COHORT,ADJUSTED_5YR_COHORT,GRADUATION_RATE_5YR_COHORT,ASIAN_GRADUATES_5YR_COHORT,ASIAN_ADJUSTED_5YR_COHORT,ASIAN_GRADUATION_RATE_5YR_COHORT,BLACK_GRADUATES_5YR_COHORT,BLACK_ADJUSTED_5YR__COHORT,BLACK_GRADUATION_RATE_5YR__COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATES_5YR__COHORT,HAWAIIAN_PACIFIC_ISLANDER_ADJUSTED_5YR_COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATION_RATE_5YR_COHORT,HISPANIC_GRADUATES_5YR_COHORT,HISPANIC_ADJUSTED_5YR_COHORT,HISPANIC_GRADUATION_RATE_5YR_COHORT,INDIAN_GRADUATES_5YR_COHORT,INDIAN_ADJUSTED_5YR_COHORT,INDIAN_GRADUATION_RATE_5YR_COHORT,MULTIRACIAL_GRADUATES_5YR_COHORT,MULTIRACIAL_ADJUSTED_5YR_COHORT,MULTIRACIAL_GRADUATION_RATE_5YR_COHORT,WHITE_GRADUATES_5YR_COHORT,WHITE_ADJUSTED_5YR_COHORT,WHITE_GRADUATION_RATE_5YR_COHORT,IEP_GRADUATION_RATE_5YR_COHORT,LEP_GRADUATION_RATE_5YR_COHORT,FRL_GRADUATION_RATE_5YR_COHORT,GRADUATES_6YR_COHORT,ADJUSTED_6YR_COHORT,GRADUATION_RATE_6YR_COHORT,ASIAN_GRADUATES_6YR_COHORT,ASIAN_ADJUSTED_6YR_COHORT,ASIAN_GRADUATION_RATE_6YR_COHORT,BLACK_GRADUATES_6YR_COHORT,BLACK_ADJUSTED_6YR__COHORT,BLACK_GRADUATION_RATE_6YR__COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATES_6YR__COHORT,HAWAIIAN_PACIFIC_ISLANDER_ADJUSTED_6YR_COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATION_RATE_6YR_COHORT,HISPANIC_GRADUATES_6YR_COHORT,HISPANIC_ADJUSTED_6YR_COHORT,HISPANIC_GRADUATION_RATE_6YR_COHORT,INDIAN_GRADUATES_6YR_COHORT,INDIAN_ADJUSTED_6YR_COHORT,INDIAN_GRADUATION_RATE_6YR_COHORT,MULTIRACIAL_GRADUATES_6YR_COHORT,MULTIRACIAL_ADJUSTED_6YR_COHORT,MULTIRACIAL_GRADUATION_RATE_6YR_COHORT,WHITE_GRADUATES_6YR_COHORT,WHITE_ADJUSTED_6YR_COHORT,WHITE_GRADUATION_RATE_6YR_COHORT,IEP_GRADUATION_RATE_6YR_COHORT,LEP_GRADUATION_RATE_6YR_COHORT,FRL_GRADUATION_RATE_6YR_COHORT,GRADUATES_7YR_COHORT,ADJUSTED_7YR_COHORT,GRADUATION_RATE_7YR_COHORT,ASIAN_GRADUATES_7YR_COHORT,ASIAN_ADJUSTED_7YR_COHORT,ASIAN_GRADUATION_RATE_7YR_COHORT,BLACK_GRADUATES_7YR_COHORT,BLACK_ADJUSTED_7YR__COHORT,BLACK_GRADUATION_RATE_7YR__COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATES_7YR__COHORT,HAWAIIAN_PACIFIC_ISLANDER_ADJUSTED_7YR_COHORT,HAWAIIAN_PACIFIC_ISLANDER_GRADUATION_RATE_7YR_COHORT,HISPANIC_GRADUATES_7YR_COHORT,HISPANIC_ADJUSTED_7YR_COHORT,HISPANIC_GRADUATION_RATE_7YR_COHORT,INDIAN_GRADUATES_7YR_COHORT,INDIAN_ADJUSTED_7YR_COHORT,INDIAN_GRADUATION_RATE_7YR_COHORT,MULTIRACIAL_GRADUATES_7YR_COHORT,MULTIRACIAL_ADJUSTED_7YR_COHORT,MULTIRACIAL_GRADUATION_RATE_7YR_COHORT,WHITE_GRADUATES_7YR_COHORT,WHITE_ADJUSTED_7YR_COHORT,WHITE_GRADUATION_RATE_7YR_COHORT,IEP_GRADUATION_RATE_7YR_COHORT,LEP_GRADUATION_RATE_7YR_COHORT,FRL_GRADUATION_RATE_7YR_COHORT
2011,96088,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96089,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96090,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96091,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96092,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96093,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96094,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96095,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96098,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96099,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96101,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96102,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96103,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96104,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,96106,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
