YEAR,COUNTY_DISTRICT_CODE,GRADUATES_PREVIOUS_YEAR,GRADUATE_FOLLOWUP_COLLEGE,GRADUATE_FOLLOWUP_COLLEGE_PCT,GRADUATE_FOLLOWUP_4YR,GRADUATE_FOLLOWUP_4YR_PCT,GRADUATE_FOLLOWUP_2YR,GRADUATE_FOLLOWUP_2YR_PCT,GRADUATE_FOLLOWUP_EMPLOYED,GRADUATE_FOLLOWUP_EMPLOYED_PCT,GRADUATE_FOLLOWUP_MILITARY,GRADUATE_FOLLOWUP_MILITARY_PCT,GRADUATE_FOLLOWUP_NON_COLLEGE,GRADUATE_FOLLOWUP_NON_COLLEGE_PCT,GRADUATE_FOLLOWUP_OTHER,GRADUATE_FOLLOWUP_OTHER_PCT,GRADUATE_FOLLOWUP_UNKNOWN,GRADUATE_FOLLOWUP_UNKNOWN_PCT
1991,96088,1221,959,78.5,669,54.8,290,23.8,72,5.9,83,6.8,80,6.6,32,2.6,0,0
1991,96089,735,399,54.3,301,41,98,13.3,255,34.7,55,7.5,56,7.6,45,6.1,0,0
1991,96090,426,318,74.6,228,53.5,90,21.1,47,11,5,1.2,13,3.1,0,0,0,0
1991,96091,824,616,74.8,427,51.8,189,22.9,47,5.7,19,2.3,15,1.8,8,1,0,0
1991,96092,342,260,76,219,64,41,12,50,14.6,9,2.6,0,0,20,5.8,0,0
1991,96093,426,350,82.2,235,55.2,115,27,21,4.9,17,4,13,3.1,18,4.2,0,0
1991,96094,685,515,75.2,319,46.6,196,28.6,115,16.8,24,3.5,22,3.2,14,2,0,0
1991,96095,1637,1409,86.1,1234,75.4,175,10.7,31,1.9,32,2,37,2.3,128,7.8,0,0
1991,96098,146,99,67.8,54,37,45,30.8,33,22.6,0,0,0,0,7,4.8,0,0
1991,96099,69,40,58,20,29,20,29,17,24.6,0,0,6,8.7,0,0,0,0
1991,96101,42,36,85.7,31,73.8,5,11.9,7,16.7,0,0,0,0,0,0,0,0
1991,96102,155,137,88.4,129,83.2,8,5.2,0,0,0,0,0,0,10,6.5,0,0
1991,96103,71,39,54.9,16,22.5,23,32.4,17,23.9,6,8.5,0,0,0,0,0,0
1991,96104,131,81,61.8,57,43.5,24,18.3,11,8.4,23,17.6,16,12.2,0,0,0,0
1991,96106,263,239,90.9,214,81.4,25,9.5,9,3.4,10,3.8,0,0,0,0,0,0
1991,96107,72,41,56.9,20,27.8,21,29.2,27,37.5,0,0,0,0,0,0,0,0
1991,96109,284,188,66.2,93,32.7,95,33.5,38,13.4,18,6.3,0,0,10,3.5,0,0
1991,96110,306,172,56.2,86,28.1,86,28.1,72,23.5,34,11.1,22,7.2,16,5.2,0,0
1991,96111,251,119,47.4,61,24.3,58,23.1,63,25.1,19,7.6,16,6.4,34,13.5,0,0
1991,96112,241,134,55.6,110,45.6,24,10,38,15.8,19,7.9,13,5.4,7,2.9,0,0
1991,96113,33,21,63.6,8,24.2,13,39.4,9,27.3,0,0,0,0,0,0,0,0
1991,96114,246,189,76.8,140,56.9,49,19.9,7,2.8,5,2,20,8.1,8,3.3,0,0
1991,96119,319,37,11.6,12,3.8,25,7.8,156,48.9,16,5,17,5.3,122,38.2,0,0
1991,115115,1368,728,53.2,515,37.6,213,15.6,82,6,96,7,101,7.4,68,5,0,0
1992,96088,811,906,111.7,629,77.6,277,34.2,67,8.3,75,9.2,81,10,27,3.3,0,0
1992,96089,617,336,54.5,198,32.1,138,22.4,203,32.9,49,7.9,47,7.6,13,2.1,0,0
1992,96090,370,284,76.8,188,50.8,96,25.9,21,5.7,12,3.2,11,3,64,17.3,0,0
1992,96091,920,753,81.8,544,59.1,209,22.7,54,5.9,26,2.8,19,2.1,12,1.3,0,0
1992,96092,262,221,84.4,166,63.4,55,21,23,8.8,8,3.1,0,0,16,6.1,0,0
1992,96093,349,282,80.8,163,46.7,119,34.1,18,5.2,13,3.7,13,3.7,11,3.2,0,0
1992,96094,697,531,76.2,340,48.8,191,27.4,116,16.6,29,4.2,30,4.3,22,3.2,0,0
1992,96095,1660,1335,80.4,1162,70,173,10.4,28,1.7,29,1.7,33,2,187,11.3,0,0
1992,96098,125,77,61.6,47,37.6,30,24,28,22.4,5,4,7,5.6,9,7.2,0,0
1992,96099,65,43,66.2,22,33.8,21,32.3,0,0,0,0,5,7.7,13,20,0,0
1992,96101,31,28,90.3,22,71,6,19.4,0,0,0,0,0,0,0,0,0,0
1992,96102,151,133,88.1,121,80.1,12,7.9,0,0,0,0,0,0,0,0,0,0
1992,96103,58,32,55.2,20,34.5,12,20.7,16,27.6,5,8.6,0,0,0,0,0,0
1992,96104,125,69,55.2,48,38.4,21,16.8,19,15.2,15,12,12,9.6,0,0,0,0
1992,96106,213,181,85,151,70.9,30,14.1,6,2.8,0,0,19,8.9,0,0,0,0
1992,96107,62,31,50,16,25.8,15,24.2,12,19.4,0,0,22,35.5,0,0,0,0
1992,96109,254,188,74,93,36.6,95,37.4,38,15,18,7.1,0,0,10,3.9,0,0
1992,96110,335,144,43,88,26.3,56,16.7,139,41.5,29,8.7,22,6.6,13,3.9,0,0
