YEAR,COUNTY_DISTRICT_CODE,PROPORTIONAL_ATTENDANCE_TOTAL_90ABV,PROPORTIONAL_ATTENDANCE_TOTAL,PROPORTIONAL_ATTENDANCE_TOTAL_PCT,PROPORTIONAL_ATTENDANCE_ASIAN_90ABV,PROPORTIONAL_ATTENDANCE_ASIAN,PROPORTIONAL_ATTENDANCE_ASIAN_PCT,PROPORTIONAL_ATTENDANCE_BLACK_90ABV,PROPORTIONAL_ATTENDANCE_BLACK,PROPORTIONAL_ATTENDANCE_BLACK_PCT,PROPORTIONAL_ATTENDANCE_HISPANIC_90ABV,PROPORTIONAL_ATTENDANCE_HISPANIC,PROPORTIONAL_ATTENDANCE_HISPANIC_PCT,PROPORTIONAL_ATTENDANCE_INDIAN_90ABV,PROPORTIONAL_ATTENDANCE_INDIAN,PROPORTIONAL_ATTENDANCE_INDIAN_PCT,PROPORTIONAL_ATTENDANCE_MULTIRACE_90ABV,PROPORTIONAL_ATTENDANCE_MULTIRACE,PROPORTIONAL_ATTENDANCE_MULTIRACE_PCT,PROPORTIONAL_ATTENDANCE_PACIFIC_ISLANDER_90ABV,PROPORTIONAL_ATTENDANCE_PACIFIC_ISLANDER,PROPORTIONAL_ATTENDANCE_PACIFIC_ISLANDER_PCT,PROPORTIONAL_ATTENDANCE_WHITE_90ABV,PROPORTIONAL_ATTENDANCE_WHITE,PROPORTIONAL_ATTENDANCE_WHITE_PCT,PROPORTIONAL_ATTENDANCE_K_8_90ABV,PROPORTIONAL_ATTENDANCE_K_8,PROPORTIONAL_ATTENDANCE_K_8_PCT,PROPORTIONAL_ATTENDANCE_9_12_90ABV,PROPORTIONAL_ATTENDANCE_9_12,PROPORTIONAL_ATTENDANCE_9_12_PCT,PROPORTIONAL_ATTENDANCE_LEP_PCT,PROPORTIONAL_ATTENDANCE_IEP_PCT,PROPORTIONAL_ATTENDANCE_FRL_PCT
2009,96088,14727.775,18367.0133,80.2,182.9238,202.6827,90.3,10021.1551,12536.2969,79.9,208.5616,277.6333,75.1,16.0134,25.1382,63.7,0,0,0,0,0,0,4299.1211,5325.2622,80.7,10463.7504,12223.5329,85.6,4264.0246,6143.4804,69.4,86.6,74.4,75.8
2009,96089,9251.9523,11443.9413,80.8,79.0853,93.3669,84.7,7201.9831,8977.5029,80.2,129.1449,152.7064,84.6,8.1919,11.3042,72.5,0,0,0,0,0,0,1833.5471,2209.0609,83,6681.1378,7627.9309,87.6,2570.8145,3816.0104,67.4,90.6,76.7,78.4
2009,96090,4700.6191,5349.7736,87.9,212.9234,237.681,89.6,1270.5856,1482.5704,85.7,290.3644,318.0998,91.3,12.9488,13.9486,92.8,0,0,0,0,0,0,2913.7969,3297.4738,88.4,3300.9031,3623.3317,91.1,1399.716,1726.4419,81.1,89.2,82.6,82.7
2009,96091,20381.7088,22053.5922,92.4,1090.4545,1135.4829,96,1767.4766,2266.2852,78,369.7965,393.1872,94.1,33.8483,41.143,82.3,0,0,0,0,0,0,17120.1329,18217.4939,94,14077.9619,14837.6701,94.9,6303.7469,7215.9221,87.4,92.4,87.6,77.9
2009,96092,4352.2434,4895.7549,88.9,97.8472,106.0893,92.2,785.5291,1001.3426,78.4,74.6707,82.8063,90.2,0,0,0,0,0,0,0,0,0,3391.1974,3701.6228,91.6,3144.5804,3335.7785,94.3,1207.663,1559.9764,77.4,93.4,82,76.7
2009,96093,5193.9626,5547.8471,93.6,181.5718,191.637,94.7,345.5419,410.0292,84.3,82.8868,89.0847,93,6.8203,6.8203,100,0,0,0,0,0,0,4577.1418,4850.2759,94.4,3552.4282,3711.1429,95.7,1641.5344,1836.7042,89.4,95.8,89.6,88
2009,96094,9594.5244,10557.2995,90.9,260.7888,274.8985,94.9,859.8336,1095.2536,78.5,133.0347,146.2579,91,9.4888,10.4884,90.5,0,0,0,0,0,0,8331.3785,9030.4011,92.3,6479.2104,6980.1226,92.8,3115.314,3577.1769,87.1,94.1,85.6,81.8
2009,96095,15573.8892,17372.6787,89.6,1793.4501,1909.5366,93.9,2252.5321,2801.9125,80.4,381.1495,420.0723,90.7,34.2346,37.9559,90.2,0,0,0,0,0,0,11112.5229,12203.2014,91.1,10660.2627,11456.5908,93,4913.6265,5916.0879,83.1,92.1,83.9,79.4
2009,96098,2064.5286,2398.6843,86.1,77.3296,81.0995,95.4,181.1296,230.621,78.5,49.9936,59.0362,84.7,6.9887,6.9887,100,0,0,0,0,0,0,1749.0871,2020.9389,86.5,1432.8719,1591.958,90,631.6567,806.7263,78.3,85.6,80.8,77.7
2009,96099,1396.1612,1602.6302,87.1,143.0839,150.8334,94.9,137.0348,171.2867,80,30.4053,33.9012,89.7,0,0,0,0,0,0,0,0,0,1081.6372,1242.6089,87,986.7646,1117.5963,88.3,409.3966,485.0339,84.4,92.1,82.9,84.2
