YEAR,COUNTY_DISTRICT_CODE,STUDENTS_PER_ADMIN_RATIO,STUDENTS_PER_CLASSRM_TCH_RATIO,STUDENTS_PER_TEACHER_RATIO
1991,96088,395,20,18
1991,96089,288,17,15
1991,96090,261,16,15
1991,96091,372,20,19
1991,96092,335,18,17
1991,96093,459,20,19
1991,96094,399,21,19
1991,96095,351,20,18
1991,96098,342,18,17
1991,96099,261,20,18
1991,96101,202,12,11
1991,96102,240,21,13
1991,96103,318,22,19
1991,96104,429,22,20
1991,96106,274,15,14
1991,96107,251,15,14
1991,96109,269,22,19
1991,96110,444,22,20
1991,96111,338,20,19
1991,96112,382,18,16
1991,96113,252,15,13
1991,96114,316,19,17
1991,96119,511,313,12
1991,115115,224,19,13
1992,96088,401,21,19
1992,96089,306,19,16
1992,96090,273,18,16
1992,96091,416,21,20
1992,96092,310,19,17
1992,96093,366,20,18
1992,96094,418,22,20
1992,96095,350,21,18
1992,96098,353,21,19
1992,96099,258,20,18
1992,96101,201,13,12
1992,96102,280,15,13
1992,96103,333,23,21
1992,96104,430,22,19
1992,96106,257,16,14
1992,96107,226,17,15
1992,96109,320,22,19
1992,96110,397,23,20
1992,96111,331,20,19
1992,96112,409,19,17
1992,96113,267,17,15
1992,96114,343,23,19
1992,96119,664,134,12
1992,115115,235,19,13
1993,96088,371,20,18
1993,96089,309,18,16
1993,96090,256,17,15
1993,96091,406,20,18
1993,96092,301,19,17
1993,96093,339,19,17
1993,96094,425,22,20
1993,96095,349,20,18
1993,96098,321,21,19
1993,96099,266,20,18
1993,96101,211,15,13
1993,96102,337,16,13
1993,96103,331,24,22
1993,96104,425,22,19
1993,96106,270,15,14
1993,96107,212,16,15
1993,96109,308,21,18
1993,96110,396,22,20
1993,96111,306,22,21
1993,96112,371,19,17
1993,96113,410,16,15
1993,96114,340,20,18
1993,96119,342,93,13
1993,115115,264,20,13
1994,96088,373,20,18
1994,96089,294,18,16
1994,96090,274,17,15
1994,96091,346,21,19
1994,96092,313,19,17
1994,96093,339,19,17
1994,96094,412,22,20
1994,96095,339,20,18
1994,96098,310,22,20
1994,96099,268,19,18
1994,96101,209,15,13
1994,96102,300,15,13
1994,96103,323,23,20
1994,96104,417,22,19
1994,96106,279,16,15
1994,96107,217,17,15
1994,96109,311,19,17
1994,96110,422,22,20
1994,96111,333,21,19
1994,96112,382,18,16
1994,96113,416,16,15
1994,96114,344,20,17
1994,96119,323,105,13
1994,115115,259,20,13
1995,96088,368,20,18
1995,96089,298,18,16
1995,96090,269,17,15
1995,96091,360,20,18
1995,96092,306,18,17
1995,96093,339,19,17
1995,96094,419,22,20
1995,96095,341,20,18
1995,96098,286,19,18
1995,96099,269,20,18
1995,96101,218,15,13
1995,96102,269,15,13
1995,96103,320,22,20
1995,96104,413,22,19
